"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C2";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C3";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C4";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C5";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C6";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C7";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C8";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C9";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C11";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C13";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C14";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C15";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C16";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C17";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C18";"0.33pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C19";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C20";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C21";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"C22";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";
"F1";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";"";"";"";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";
"LED1";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";
"LED2";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";
"LED3";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";
"LED4";"";"LED0603";"LED-0603";"LEDs";"";"";"";"";"";"";"";
"Q1";"MMBT5088";"TRANSISTOR_NPNMMBT5088";"SOT23";"Generic NPN BJT";"";"";"";"";"TRANS-11160";"";"MMBT5088";
"R1";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R2";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R3";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R4";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R5";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R6";"1K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R7";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R8";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R9";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R10";"4.7K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R11";"4.7K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R12";"4.7K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R13";"4.7K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R14";"1K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R15";"1K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R16";"100";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R17";"1.5K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R18";"200K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R19";"10K";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R20";"100";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R21";"100";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"R23";"100";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";"";"";
"SV1";"";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";
"SW0";"SPARKFUN_TAC_BUTTONS";"SPARKFUN_TAC_BUTTONS";"SPARKFUN_TAC_BUTTONS";"";"";"";"";"";"";"";"";
"SW1";"SPARKFUN_TAC_BUTTONS";"SPARKFUN_TAC_BUTTONS";"SPARKFUN_TAC_BUTTONS";"";"";"";"";"";"";"";"";
"SW2";"SPARKFUN_TAC_BUTTONS";"SPARKFUN_TAC_BUTTONS";"SPARKFUN_TAC_BUTTONS";"";"";"";"";"";"";"";"";
"SW3";"SPARKFUN_TAC_BUTTONS";"SPARKFUN_TAC_BUTTONS";"SPARKFUN_TAC_BUTTONS";"";"";"";"";"";"";"";"";
"TP1";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP2";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP3";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP4";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP5";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP6";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP7";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP8";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP9";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP10";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP11";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP12";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP13";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP14";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP15";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP16";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP17";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP18";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP19";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP20";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP21";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP22";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP23";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP24";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"TP25";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";
"U$1";"ATXMEGA32A4UTQFP44";"ATXMEGA32A4UTQFP44";"QFP80P1200X1200X120-44N";"";"";"";"";"";"";"";"";
"U$6";"8B_SHIFT_REG";"8B_SHIFT_REG";"TSSOP16";"";"";"";"";"";"";"";"";
"U$7";"MICRO_TAC_BUTTONS";"MICRO_TAC_BUTTONS";"MICRO_TAC_BUTTONS";"";"";"";"";"";"";"";"";
"U$8";"ENCODER";"ENCODER";"EVE_GE1F2012B";"";"";"";"";"";"";"";"";
"U$9";"ENCODER";"ENCODER";"EVE_GE1F2012B";"";"";"";"";"";"";"";"";
"U$10";"XBEE-1B1";"XBEE-1B1";"XBEE-1";"Xbee module footprints";"";"";"";"";"";"";"";
"U$11";"LCD_CONNECTOR";"LCD_CONNECTOR";"LCD_CONNECTOR";"";"";"";"";"";"";"";"";
"U$12";"3.3V_REG_LDO";"3.3V_REG_LDO";"SOT223";"";"";"";"";"";"";"";"";
"U$13";"3XAA_BATT_HOLDER";"3XAA_BATT_HOLDER";"3XAA_BATT_HOLDER";"";"";"";"";"";"";"";"";
"U$14";"SWITCH_SLIDE";"SWITCH_SLIDE";"SWITCH_SLIDE";"";"";"";"";"";"";"";"";
"U$15";"FREQUENCY_DIVIDER";"FREQUENCY_DIVIDER";"DIP08";"";"";"";"";"";"";"";"";
"U$16";"LM4875";"LM4875";"SOIC8";"";"";"";"";"";"";"";"";
"U$17";"MICROPHONE";"MICROPHONE";"CMA-4544PF";"";"";"";"";"";"";"";"";
